seed,source,target,model,budget,strategy,n_train,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,buffer_est,thr_applied,single_class_buffer,fit_s
43,nfbotv2,nftonv2,mlp,0.001,calibrate,2100,0.4206219075539693,0.6107334447783608,0.0,0.5201272026439137,1.0,0.1959975697391799,0.0479859292289199,0.1526714295615285,0.705516480510028,,,0.0,
43,nfbotv2,nftonv2,mlp,0.001,rethreshold,2100,0.3820324769560665,0.4418804113308244,0.1736364665507282,0.4931098320447996,0.0438487646436261,0.5006727564660257,0.5035891990875558,0.1738944701260078,0.999981887840621,0.1568046916805623,0.999984467795788,0.0,
43,nfbotv2,nftonv2,mlp,0.01,calibrate,21000,0.4206219075539693,0.6107334447783608,0.0,0.5201183290735607,1.0,0.1960017695837246,0.0541050207661239,0.1526714295615285,0.7058970343635176,,,0.0,
43,nfbotv2,nftonv2,mlp,0.01,rethreshold,21000,0.3827876594389316,0.4418804113308244,0.1738390720855877,0.4931098320447996,0.0443596949016459,0.5006727564660257,0.5035891990875558,0.1738944701260078,0.999981887840621,0.1722162413838746,0.999979315390898,0.0,
43,nfbotv2,nftonv2,mlp,0.05,calibrate,105000,0.4206219075539693,0.6107334447783608,0.0,0.5202672205234322,1.0,0.1960020655747336,0.0539793828104911,0.1526714295615285,0.7057809851220839,,,0.0,
43,nfbotv2,nftonv2,mlp,0.05,rethreshold,105000,0.3826554342483458,0.4418804113308244,0.1738054797475099,0.4931098320447996,0.0442684573555709,0.5006727564660257,0.5035891990875558,0.1738944701260078,0.999981887840621,0.16822985098088,0.9999805926631278,0.0,
43,nfbotv2,nftonv2,mlp,0.1,calibrate,210000,0.4206219075539693,0.6107334447783608,0.0,0.5201720102960141,1.0,0.1960113111524237,0.0600951842492539,0.1526714295615285,0.7062672242071184,,,0.0,
43,nfbotv2,nftonv2,mlp,0.1,rethreshold,210000,0.382793564905047,0.4418804113308244,0.1738453125290466,0.4931098320447996,0.0443596949016459,0.5006727564660257,0.5035891990875558,0.1738944701260078,0.999981887840621,0.1713973529216536,0.9999792695747172,0.0,
43,nfbotv2,nfbotv2,mlp,0.0,in_domain,250000,0.9746707485996928,0.999575879054836,0.9493497624377714,0.9778961553190624,0.0464839094159713,0.0004098721313843,0.0002919299294156,0.9504791587968212,0.4731666675857906,,,,47.0
44,nf2018v2,nf2018v2,rf,0.0,in_domain,249999,0.9885035132064988,0.9952399517577112,0.9772471828944128,0.9851944548296424,0.0001020859563752,0.0049898095509522,0.0050961911857106,0.9773700091103606,0.53,,,,169.0
44,nf2018v2,nfunswv2,rf,0.0,zero_shot,249999,0.4906172816769453,0.9429786488259496,-0.0044576571869705,0.4824825535872173,0.0015796967397969,0.0696797066111111,0.1729029166666666,0.0366926149017229,0.0033333333333333,,,,169.0
44,nf2018v2,nfunswv2,rf,0.0001,calibrate,144,0.490370551571952,0.943678896856096,0.0,0.5369020807445422,0.0,0.0372101006170427,0.0316239969361119,0.2661200613757283,0.072958931438301,,,0.0,
44,nf2018v2,nfunswv2,rf,0.0001,rethreshold,144,0.0974997798930768,0.9429786488259496,-0.0332401523642761,0.4824825535872173,0.9326498373535924,0.0696797066111111,0.1729029166666666,0.0366926149017229,0.0033333333333333,0.0662556837391603,0.0233333333333333,0.0,
44,nf2018v2,nfunswv2,rf,0.001,calibrate,1392,0.490370551571952,0.943678896856096,0.0,0.5369020807445422,0.0,0.036061782079057,0.0029036910957375,0.2661200613757283,0.0458551846098325,,,0.0,
