seed,source,target,model,budget,buffer_est,cv_est,cv_mode,rt,bo,chose_rt,realised,oracle,regret,always_retrain,correct
42,nftonv2,nfbotv2,lgbm,0.001,0.3326978068575605,0.6559047092369128,cv3,0.2144354858338644,0.7755071246652027,0,0.7755071246652027,0.7755071246652027,0.0,0.0,True
42,nftonv2,nfbotv2,lgbm,0.01,0.2760661722784356,0.8098081080217957,cv3,0.2763598423212492,0.8772887146612782,0,0.8772887146612782,0.8772887146612782,0.0,0.0,True
42,nftonv2,nfbotv2,lgbm,0.05,0.2997619923174723,0.8211442519110305,cv3,0.2763598423212492,0.1297195199299362,0,0.1297195199299362,0.2763598423212492,0.14664032239131303,0.14664032239131303,False
42,nftonv2,nfbotv2,lgbm,0.1,0.2920288314987602,0.0869146520705953,cv3,0.2763598423212492,0.7124832049997525,1,0.2763598423212492,0.7124832049997525,0.43612336267850327,0.0,False
42,nftonv2,nf2018v2,mlp,0.0001,0.3719472560604476,0.7984251474971643,cv3,0.2777687725073056,0.8931536657894262,0,0.8931536657894262,0.8931536657894262,0.0,0.0,True
42,nftonv2,nf2018v2,mlp,0.001,0.404050553502564,0.9283160441955144,cv3,0.3985305636495242,0.9401013519738656,0,0.9401013519738656,0.9401013519738656,0.0,0.0,True
42,nftonv2,nf2018v2,mlp,0.01,0.4132097331301164,0.9383997410406344,cv3,0.3983542202487165,0.9605731359993388,0,0.9605731359993388,0.9605731359993388,0.0,0.0,True
42,nftonv2,nf2018v2,mlp,0.05,0.4020657963066186,0.9690198635218858,cv3,0.399184885032759,0.9702359922775567,0,0.9702359922775567,0.9702359922775567,0.0,0.0,True
42,nftonv2,nf2018v2,mlp,0.1,0.3991590952742856,0.9697814992506558,cv3,0.3973662811438815,0.9697527319466452,0,0.9697527319466452,0.9697527319466452,0.0,0.0,True
42,nftonv2,nfunswv2,mlp,0.0001,0.1352167966250947,0.7908351786510934,cv3,0.0509918771115549,0.6738046434465649,0,0.6738046434465649,0.6738046434465649,0.0,0.0,True
42,nftonv2,nfunswv2,mlp,0.001,0.0803052589042764,0.7908960655068893,cv3,0.0630802761478275,0.8724595041636478,0,0.8724595041636478,0.8724595041636478,0.0,0.0,True
42,nftonv2,nfunswv2,mlp,0.01,0.0921954865603946,0.7661062013611503,cv3,0.0857155528339251,0.9020094267814196,0,0.9020094267814196,0.9020094267814196,0.0,0.0,True
42,nftonv2,nfunswv2,mlp,0.05,0.086678669720056,0.9224710425152044,cv3,0.0871078691591745,0.9212390576675296,0,0.9212390576675296,0.9212390576675296,0.0,0.0,True
42,nftonv2,nfunswv2,mlp,0.1,0.0861248954141011,0.934792975700554,cv3,0.0871455665619929,0.9232569489766432,0,0.9232569489766432,0.9232569489766432,0.0,0.0,True
42,nftonv2,nfbotv2,mlp,0.0001,0.1069763170597789,1.0,resub,0.0701680648379479,0.0852131190162651,0,0.0852131190162651,0.0852131190162651,0.0,0.0,True
42,nftonv2,nfbotv2,mlp,0.001,0.212847985415997,0.1353999457001672,cv3,0.1929632198507919,0.6500893936409267,1,0.1929632198507919,0.6500893936409267,0.45712617379013476,0.0,False
42,nftonv2,nfbotv2,mlp,0.01,0.4263224074845049,0.4650715033761727,cv3,0.4664698034223938,0.7544048080784458,0,0.7544048080784458,0.7544048080784458,0.0,0.0,True
42,nftonv2,nfbotv2,mlp,0.05,0.4544963223149584,0.8034093705210873,cv3,0.4692369597185513,0.8074495526479445,0,0.8074495526479445,0.8074495526479445,0.0,0.0,True
42,nftonv2,nfbotv2,mlp,0.1,0.4511026425365738,0.8884361537207258,cv3,0.4689769943381813,0.932578450959186,0,0.932578450959186,0.932578450959186,0.0,0.0,True
42,nfbotv2,nf2018v2,rf,0.0001,0.7434121621621622,0.8878696366260774,cv3,0.7361487333562381,0.945363583798542,0,0.945363583798542,0.945363583798542,0.0,0.0,True
42,nfbotv2,nf2018v2,rf,0.001,0.7531270178259537,0.9703293357412658,cv3,0.7579883908454679,0.9617495449421696,0,0.9617495449421696,0.9617495449421696,0.0,0.0,True
42,nfbotv2,nf2018v2,rf,0.01,0.7677719023990078,0.9735786548371088,cv3,0.759382343103206,0.972867491168671,0,0.972867491168671,0.972867491168671,0.0,0.0,True
42,nfbotv2,nf2018v2,rf,0.05,0.761388079961831,0.9745410559587144,cv3,0.759382343103206,0.9759352351671404,0,0.9759352351671404,0.9759352351671404,0.0,0.0,True
42,nfbotv2,nf2018v2,rf,0.1,0.7606838383439731,0.975817148913902,cv3,0.759382343103206,0.9769556813096164,0,0.9769556813096164,0.9769556813096164,0.0,0.0,True
42,nfbotv2,nfunswv2,rf,0.0001,0.0855186110494136,0.9358576176957496,cv3,-0.068977258981859,0.8761985266844862,0,0.8761985266844862,0.8761985266844862,0.0,0.0,True
42,nfbotv2,nfunswv2,rf,0.001,0.1334650679203379,0.9060216923915888,cv3,0.1432777741620017,0.9017121184941622,0,0.9017121184941622,0.9017121184941622,0.0,0.0,True
42,nfbotv2,nfunswv2,rf,0.01,0.1354317007330562,0.9381582452348606,cv3,0.1432777741620017,0.9416738256656512,0,0.9416738256656512,0.9416738256656512,0.0,0.0,True
42,nfbotv2,nfunswv2,rf,0.05,0.1483488865841574,0.9473607608291452,cv3,0.1484905458943646,0.947460954031949,0,0.947460954031949,0.947460954031949,0.0,0.0,True
42,nfbotv2,nfunswv2,rf,0.1,0.1501739048227389,0.9494563386460269,cv3,0.1484905458943646,0.9521709432394554,0,0.9521709432394554,0.9521709432394554,0.0,0.0,True
42,nfbotv2,nftonv2,rf,0.0001,0.6660278314692459,0.8317509721471161,cv3,0.6275547794198014,0.8729442246372302,0,0.8729442246372302,0.8729442246372302,0.0,0.0,True
42,nfbotv2,nftonv2,rf,0.001,0.6175799117687552,0.9291181068479296,cv3,0.6275547794198014,0.9356466158206888,0,0.9356466158206888,0.9356466158206888,0.0,0.0,True
