seed,source,target,model,budget,strategy,n_train,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,buffer_est,cv_est,cv_mode,n_pseudo,n_benign_buf,fit_s
42,nf2018v2,nfunswv2,mlp,0.01,selector_v2,13907,0.48467871570150534,0.9181498377878126,,0.48050208248097664,0.053584976252585195,0.07455404478960584,0.060391996640676904,0.06566264669141926,0.999999993950387,0.20915886381226034,0.7661062013611503,cv3,,13382,
42,nf2018v2,nfunswv2,mlp,0.01,finetune,263906,0.8770395047479146,0.9826862922984104,0.7561828534699201,0.8921629388046796,0.006090146641585517,0.013931982652511601,0.007017927733752709,0.7815964232304207,0.08971113537978403,,,,,13382,1
42,nf2018v2,nfunswv2,mlp,0.01,iw_augment,263906,0.934351953478257,0.9905008009709125,0.8687595214310861,0.9430146969421123,0.00448966441837021,0.00767245724850307,0.0020192394465519837,0.8749217444649552,0.3005275396767382,,,,,13382,40
42,nf2018v2,nfunswv2,mlp,0.05,selector_v2,69537,0.48467871570150534,0.9181498377878126,,0.48050208248097664,0.053584976252585195,0.07455404478960584,0.060391996640676904,0.06566264669141926,0.999999993950387,0.21024447236668212,0.9224710425152045,cv3,,66908,
42,nf2018v2,nfunswv2,mlp,0.1,selector_v2,139072,0.48467871570150534,0.9181498377878126,,0.48050208248097664,0.053584976252585195,0.07455404478960584,0.060391996640676904,0.06566264669141926,0.999999993950387,0.2111112660311256,0.9347929757005539,cv3,,133817,
42,nf2018v2,nfunswv2,mlp,0.0001,al_iterative,138,0.8306596432898654,0.9775903835373418,0.6814659786628882,0.849650734698792,0.003102233400193305,0.018439158670655816,0.01766773341459467,0.729494526761835,0.04779584834812285,,,,,70,1
42,nf2018v2,nfunswv2,mlp,0.0001,insomnia,50139,0.49508854659413437,0.930473175836684,-0.00935535065048876,0.4904508630693383,0.029723241288284262,0.05903458654763454,0.053680592960014484,0.03695371827943712,0.999444827154402,,,,50000,137,7
42,nf2018v2,nfunswv2,mlp,0.001,al_iterative,1389,0.9289896581285575,0.9897058462410826,0.8580018088648846,0.9125302842630221,0.005061265212375677,0.008862373572980968,0.003253795528229535,0.8587028762684015,0.4904711983677884,,,,,757,2
42,nf2018v2,nfunswv2,mlp,0.001,insomnia,51391,0.501374391614218,0.9371189242733509,0.007430795397766129,0.49354497831835537,0.016680350443250433,0.050499280788522935,0.046500417026136845,0.04588843083850536,0.9990404070469119,,,,50000,1388,12
42,nf2018v2,nftonv2,mlp,0.0001,selector_v2,213,0.3959680623350248,0.39113987933337835,,0.5592644535724319,0.24484507864676472,0.5420710725131835,0.5243761150203138,0.21402570848805536,1.5290449705437788e-42,0.249986149805007,0.6409580430424441,cv3,,58,
42,nf2018v2,nftonv2,mlp,0.0001,finetune,250212,0.5268188028815597,0.5967825798398493,0.07266893076920006,0.5287849052206469,0.5432283493303164,0.3536626726483982,0.3220611108186621,0.2135580096767239,1.16444188643464e-27,,,,,58,1
