seed,source,target,model,budget,1,3,10,bo
43,nfunswv2,nfbotv2,mlp,0.001,0.1837,0.6322,0.6457,0.6862
43,nfunswv2,nfbotv2,mlp,0.01,0.6001,0.8902,0.8448,0.7417
43,nfunswv2,nfbotv2,rf,0.001,0.2308,0.8568,0.8499,0.8191
43,nfunswv2,nfbotv2,rf,0.01,0.2447,0.9227,0.9248,0.9237
43,nfunswv2,nftonv2,lgbm,0.001,0.858,0.6222,0.6222,0.9363
43,nfunswv2,nftonv2,lgbm,0.01,0.8488,0.8856,0.1114,0.9701
43,nfunswv2,nftonv2,mlp,0.001,0.1452,0.1268,0.5251,0.9029
43,nfunswv2,nftonv2,mlp,0.01,0.615,0.761,0.8134,0.9306
43,nfunswv2,nftonv2,rf,0.001,0.4035,0.9127,0.9354,0.9373
43,nfunswv2,nftonv2,rf,0.01,0.4101,0.9461,0.9654,0.9675
44,nf2018v2,nfbotv2,lgbm,0.001,0.8305,0.8409,0.8409,0.8125
44,nf2018v2,nfbotv2,lgbm,0.01,0.8702,0.8751,0.8753,0.4397
44,nf2018v2,nfbotv2,mlp,0.001,0.2829,0.6047,0.5546,0.665
44,nf2018v2,nfbotv2,mlp,0.01,0.7625,0.88,0.8708,0.6992
44,nf2018v2,nfbotv2,rf,0.001,0.0073,0.8656,0.8491,0.8319
44,nf2018v2,nfbotv2,rf,0.01,0.013,0.8792,0.9193,0.9183
44,nf2018v2,nftonv2,lgbm,0.001,0.816,0.804,0.0653,0.9394
44,nf2018v2,nftonv2,lgbm,0.01,0.9263,0.8216,0.3666,0.9697
44,nf2018v2,nftonv2,mlp,0.001,0.2257,0.5877,0.6579,0.9139
44,nf2018v2,nftonv2,mlp,0.01,0.6713,0.7611,0.7898,0.931
44,nf2018v2,nftonv2,rf,0.001,0.0673,0.762,0.9375,0.9373
44,nf2018v2,nftonv2,rf,0.01,0.0713,0.7927,0.9668,0.9672
44,nf2018v2,nfunswv2,lgbm,0.001,0.8429,0.8522,0.8518,0.887
44,nf2018v2,nfunswv2,lgbm,0.01,0.2588,0.3517,0.3517,0.9367
44,nf2018v2,nfunswv2,mlp,0.001,0.2907,0.5472,0.6815,0.8318
44,nf2018v2,nfunswv2,mlp,0.01,0.7325,0.8121,0.8595,0.8485
44,nf2018v2,nfunswv2,rf,0.001,0.1145,0.715,0.9004,0.9074
44,nf2018v2,nfunswv2,rf,0.01,0.1286,0.8121,0.9276,0.9391
44,nfbotv2,nf2018v2,lgbm,0.001,0.0159,0.0159,0.0159,0.9614
44,nfbotv2,nf2018v2,lgbm,0.01,0.0159,0.0159,0.0159,0.9731
44,nfbotv2,nf2018v2,mlp,0.001,0.6287,0.8615,0.8809,0.9193
44,nfbotv2,nf2018v2,mlp,0.01,0.9304,0.9388,0.9615,0.9579
44,nfbotv2,nf2018v2,rf,0.001,0.774,0.9555,0.9608,0.9615
44,nfbotv2,nf2018v2,rf,0.01,0.7835,0.9708,0.9734,0.973
44,nfbotv2,nftonv2,lgbm,0.001,0.0765,0.0765,0.0765,0.9394
44,nfbotv2,nftonv2,lgbm,0.01,0.0765,0.0765,0.0765,0.9697
44,nfbotv2,nftonv2,mlp,0.001,0.6355,0.7517,0.8093,0.9139
44,nfbotv2,nftonv2,mlp,0.01,0.8436,0.8968,0.9068,0.931
44,nfbotv2,nftonv2,rf,0.001,0.0233,0.8662,0.9412,0.9373
44,nfbotv2,nftonv2,rf,0.01,0.0363,0.931,0.9659,0.9672
44,nfbotv2,nfunswv2,lgbm,0.001,-0.042,-0.042,-0.042,0.887
44,nfbotv2,nfunswv2,lgbm,0.01,-0.042,-0.042,-0.042,0.9367
44,nfbotv2,nfunswv2,mlp,0.001,0.2114,0.5947,0.6252,0.8318
