source,target,model,budget,strategy,mcc_mean,mcc_std,mcc_best_thr_mean,mcc_best_thr_std,macro_f1_mean,macro_f1_std,auprc_macro_mean,auprc_macro_std,fp_rate_mean,fp_rate_std,ece_mean,ece_std,n_train_mean,n_train_std
nf2018v2,nfunswv2,mlp,0.0001,buffer_only,0.6914,0.0231,0.7881,0.0191,0.8446,0.012,0.8353,0.0182,0.0082,0.0002,0.0169,0.0017,144.0,0.0
nf2018v2,nfunswv2,mlp,0.0001,calibrate,0.0,0.0,0.117,0.0453,0.4904,0.0,0.5079,0.0244,0.0,0.0,0.0314,0.0003,144.0,0.0
nf2018v2,nfunswv2,mlp,0.0001,rethreshold,0.0054,0.0388,0.0603,0.0309,0.2718,0.2117,0.4854,0.0044,0.5687,0.5003,0.07,0.0231,144.0,0.0
nf2018v2,nfunswv2,mlp,0.001,augment,0.5952,,0.6161,,0.7953,,0.8026,,0.0098,,0.0114,,251391.0,
nf2018v2,nfunswv2,mlp,0.001,buffer_only,0.8349,0.0361,0.8689,0.0106,0.9173,0.0182,0.9046,0.0125,0.0066,0.0027,0.0079,0.0025,1392.0,0.0
nf2018v2,nfunswv2,mlp,0.001,calibrate,0.0,0.0,0.1647,0.039,0.4904,0.0,0.527,0.0106,0.0,0.0,0.004,0.0034,1392.0,0.0
nf2018v2,nfunswv2,mlp,0.001,rethreshold,0.0414,0.0389,0.0603,0.0309,0.4987,0.0066,0.4854,0.0044,0.0011,0.0005,0.07,0.0231,1392.0,0.0
nf2018v2,nfunswv2,mlp,0.01,augment,0.8688,,0.8718,,0.9344,,0.943,,0.0045,,0.002,,263906.0,
nf2018v2,nfunswv2,mlp,0.01,buffer_only,0.8846,0.0312,0.8973,0.0136,0.9421,0.0154,0.9485,0.0057,0.0055,0.0004,0.0029,0.0006,13907.0,0.0
nf2018v2,nfunswv2,mlp,0.01,calibrate,0.0,0.0,0.1647,0.039,0.4904,0.0,0.527,0.0106,0.0,0.0,0.0052,0.0015,13907.0,0.0
nf2018v2,nfunswv2,mlp,0.01,rethreshold,0.0555,0.0344,0.0603,0.0309,0.3969,0.1849,0.4854,0.0044,0.2767,0.4781,0.07,0.0231,13907.0,0.0
nf2018v2,nfunswv2,mlp,0.05,buffer_only,0.9236,0.0037,0.9232,0.0038,0.9613,0.0018,0.9748,0.0026,0.0049,0.0001,0.0005,0.0,69537.0,0.0
nf2018v2,nfunswv2,mlp,0.05,calibrate,0.0,0.0,0.1647,0.039,0.4904,0.0,0.527,0.0106,0.0,0.0,0.0056,0.0015,69537.0,0.0
nf2018v2,nfunswv2,mlp,0.05,rethreshold,0.0597,0.0306,0.0603,0.0309,0.3587,0.2506,0.4854,0.0044,0.3226,0.5579,0.07,0.0231,69537.0,0.0
