seed,source,target,model,budget,strategy,n_train,n_threshold,n_labels,mcc,macro_f1,fp_rate,auprc_macro,thr,tpr_dep,fpr_dep,tpr_oracle_fpr01,tpr_oracle_fpr001,fit_s
42,nfunswv2,nftonv2,lgbm,0.001,calibrate_rethreshold,1470,630,2100,0.2496,0.54216,0.16895,0.54512,0.73651,0.00093,0.01666,0.00045,1e-05,
42,nfunswv2,nftonv2,lgbm,0.001,rethreshold_split,1470,630,2100,0.2496,0.54216,0.16895,0.54512,0.99887,0.00093,0.01666,0.00045,1e-05,
42,nfunswv2,nftonv2,lgbm,0.01,calibrate_split,14700,6300,21000,0.10594,0.46167,0.95635,0.54512,0.73808,0.00025,0.00659,0.00045,1e-05,
42,nfunswv2,nftonv2,lgbm,0.01,calibrate_rethreshold,14700,6300,21000,0.24919,0.53863,0.16255,0.54512,0.73775,0.00025,0.00659,0.00045,1e-05,
42,nfunswv2,nftonv2,lgbm,0.01,rethreshold_split,14700,6300,21000,0.24919,0.53863,0.16255,0.54512,0.99913,0.00025,0.00659,0.00045,1e-05,
42,nfunswv2,nfbotv2,lgbm,0.0001,calibrate_split,148,63,211,0.0,0.49895,1.0,0.51423,,,,0.0,0.0,
42,nfunswv2,nfbotv2,lgbm,0.001,calibrate_split,1470,631,2101,0.0,0.49895,1.0,0.51423,0.99562,0.6962,0.44696,0.0,0.0,
42,nfunswv2,nfbotv2,lgbm,0.001,calibrate_rethreshold,1470,631,2101,0.13753,0.53407,0.55542,0.51423,0.99523,0.6962,0.44696,0.0,0.0,
42,nfunswv2,nfbotv2,lgbm,0.001,rethreshold_split,1470,631,2101,0.13753,0.53407,0.55542,0.51423,0.05519,0.6962,0.44696,0.0,0.0,
42,nfunswv2,nfbotv2,lgbm,0.01,calibrate_split,14700,6300,21000,0.0,0.49895,1.0,0.51423,0.9983,0.00932,0.04052,0.0,0.0,
42,nfunswv2,nfbotv2,lgbm,0.01,calibrate_rethreshold,14700,6300,21000,0.13754,0.55254,0.70679,0.51423,0.9926,0.00932,0.04052,0.0,0.0,
42,nfunswv2,nfbotv2,lgbm,0.01,rethreshold_split,14700,6300,21000,0.13754,0.55254,0.70679,0.51423,0.01149,0.00932,0.04052,0.0,0.0,
42,nfunswv2,nf2018v2,mlp,0.0001,calibrate_split,151,66,217,0.0,0.46854,0.0,0.56375,0.15936,0.0,0.0,0.0,0.0,
42,nfunswv2,nf2018v2,mlp,0.0001,calibrate_rethreshold,151,66,217,0.27521,0.5974,0.25617,0.56375,0.15936,0.0,0.0,0.0,0.0,
42,nfunswv2,nf2018v2,mlp,0.0001,rethreshold_split,151,66,217,0.27519,0.5974,0.25616,0.56376,1.0,0.0,0.0,0.0,0.0,
